WKT,D_NOP
"MULTIPOLYGON (((110.819844074394 -7.57730342849127,110.819889667791 -7.57731611131882,110.819862156665 -7.57741994446668,110.819818013675 -7.57740735269316,110.819844074394 -7.57730342849127)))","337202000600401850001"
"MULTIPOLYGON (((110.81994062075 -7.57730229248429,110.820010687789 -7.57732167922955,110.819965030156 -7.57746367769768,110.819898227183 -7.57744293544119,110.81994062075 -7.57730229248429)))","337202000600401840001"
"MULTIPOLYGON (((110.820098633149 -7.57729385484476,110.820164982693 -7.57731495871071,110.820141926521 -7.57738776699853,110.820076302458 -7.57736603023031,110.820098633149 -7.57729385484476)))","337202000600401830001"
"MULTIPOLYGON (((110.820183659282 -7.57731017220741,110.82029134281 -7.5773408815532,110.820260748174 -7.57744806036131,110.820153064584 -7.57741744146441,110.820183659282 -7.57731017220741)))","337202000600401820001"
"MULTIPOLYGON (((110.8202709811 -7.57747438754512,110.820301255935 -7.57748263161865,110.820271203299 -7.57759442395256,110.820240657284 -7.57758428016981,110.8202709811 -7.57747438754512)))","337202000600401810001"
"MULTIPOLYGON (((110.820313041781 -7.57748046551653,110.820336155784 -7.5774868070376,110.820303380478 -7.57760601571685,110.820280266432 -7.57759976465085,110.820313041781 -7.57748046551653)))","337202000600401800001"
"MULTIPOLYGON (((110.820344312794 -7.5774911523347,110.820363438196 -7.57749713038104,110.820328034921 -7.5776139860985,110.8203101787 -7.57760791811738,110.820344312794 -7.5774911523347)))","337202000600401790001"
"MULTIPOLYGON (((110.82036942211 -7.57749523325454,110.820387913313 -7.57750030646912,110.82035459305 -7.57762204772106,110.820336101804 -7.57761706496189,110.82036942211 -7.57749523325454)))","337202000600401780001"
"MULTIPOLYGON (((110.820418308593 -7.57743663734236,110.820465171395 -7.57744877789235,110.820438839904 -7.57755016922887,110.820516702867 -7.57757037322085,110.82049554698 -7.57765159480327,110.820370730566 -7.57761915975755,110.820418308593 -7.57743663734236)))","337202000600401770001"
"MULTIPOLYGON (((110.820427845149 -7.57739331241616,110.820555652766 -7.57742647233239,110.820545755742 -7.57746464106925,110.820417948077 -7.57743157160683,110.820427845149 -7.57739331241616)))","337202000600401770001"
"MULTIPOLYGON (((110.820525026322 -7.57761062997573,110.820587026067 -7.57762811370943,110.820581216234 -7.57764746909388,110.820519488372 -7.5776301663852,110.820525026322 -7.57761062997573)))","337202000600401760001"
"MULTIPOLYGON (((110.820536919262 -7.57756875332908,110.820598828385 -7.57758614656676,110.820587026067 -7.57762811370943,110.820525026322 -7.57761062997573,110.820536919262 -7.57756875332908)))","337202000600401760001"
"MULTIPOLYGON (((110.820622576149 -7.5775944783859,110.820691191503 -7.57761703041696,110.820656246251 -7.57772257923737,110.820587630919 -7.57769993674366,110.820622576149 -7.5775944783859)))","337202000600401750001"
"MULTIPOLYGON (((110.820859113494 -7.57754021116071,110.821046199778 -7.57759465269211,110.820992093823 -7.57777988620389,110.820804916776 -7.57772553506759,110.820859113494 -7.57754021116071)))","337202000600401740001"
"MULTIPOLYGON (((110.820809169836 -7.57752472247923,110.820859113494 -7.57754021116071,110.820804916776 -7.57772553506759,110.820756695739 -7.57770950434724,110.820809169836 -7.57752472247923)))","337202000600401740001"
"MULTIPOLYGON (((110.821009316644 -7.57778314973282,110.821066882133 -7.57756227761758,110.821150544975 -7.57758727809652,110.821141917558 -7.57762445234323,110.821094420814 -7.57761068338045,110.82104656967 -7.5777966431245,110.821009316644 -7.57778314973282)))","337202000600402270001"
"MULTIPOLYGON (((110.821273475023 -7.57779764088991,110.821342908229 -7.57781557985281,110.821312853746 -7.57793243784878,110.821245417176 -7.57790898182893,110.821273475023 -7.57779764088991)))","337202000600401720001"
"MULTIPOLYGON (((110.821363045943 -7.57778492322213,110.821465832677 -7.57781979129036,110.821414916213 -7.57796504420952,110.821326359744 -7.5779357902969,110.821363045943 -7.57778492322213)))","337202000600401710001"
"MULTIPOLYGON (((110.821493114132 -7.57783255690019,110.82152755759 -7.57784442087488,110.821507042968 -7.57790981281282,110.82147232762 -7.57789776781113,110.821493114132 -7.57783255690019)))","337202000600401700001"
"MULTIPOLYGON (((110.821603146544 -7.5778835292372,110.821665416326 -7.57790589760292,110.82164880496 -7.57795880809259,110.82162677868 -7.57795264799977,110.821606171813 -7.57802192955169,110.821559400759 -7.5780068945391,110.821603146544 -7.5778835292372)))","337202000600401690001"
"MULTIPOLYGON (((110.821672203397 -7.5779349370515,110.821753961731 -7.5779621076024,110.821742343608 -7.57799729058498,110.82166022165 -7.5779725622195,110.821672203397 -7.5779349370515)))","337202000600402190001"
"MULTIPOLYGON (((110.821687907033 -7.57788492081025,110.821772384518 -7.57791317795406,110.821760855937 -7.57795107468131,110.821675925661 -7.57792164140987,110.821687907033 -7.57788492081025)))","337202000600401670001"
"MULTIPOLYGON (((110.821621765614 -7.57779823599701,110.821779932821 -7.57785465542109,110.821764866411 -7.57789824948603,110.821604705334 -7.57784056284259,110.821621765614 -7.57779823599701)))","337202000600401660001"
"MULTIPOLYGON (((110.821609374855 -7.57772830772735,110.821804253954 -7.57779143599285,110.821789727343 -7.57784507099715,110.82159349069 -7.57777642429689,110.821609374855 -7.57772830772735)))","337202000600401650001"
"MULTIPOLYGON (((110.821478073732 -7.57781292158406,110.821500762696 -7.57775078698737,110.821550616014 -7.57776564235514,110.821563141126 -7.57772937426624,110.821591330343 -7.57773915516378,110.821554756028 -7.57783864277992,110.821478073732 -7.57781292158406)))","337202000600401640001"
"MULTIPOLYGON (((110.821357753818 -7.57764796928684,110.821495167468 -7.57768936445024,110.82145296487 -7.57780766478788,110.82135561709 -7.57777343214657,110.821348986524 -7.57780463706051,110.821328501553 -7.57779802530065,110.821357753818 -7.57764796928684)))","337202000600401630001"
"MULTIPOLYGON (((110.821280965961 -7.57765852123529,110.821340246999 -7.57767392323771,110.821320434807 -7.57779458462785,110.821268042562 -7.57778126595916,110.821280965961 -7.57765852123529)))","337202000600401620001"
"MULTIPOLYGON (((110.820649915041 -7.57746830225937,110.820711461093 -7.57748678081425,110.820689493031 -7.57755913729586,110.820628037624 -7.57754065877506,110.820649915041 -7.57746830225937)))","337202000600401610001"
"MULTIPOLYGON (((110.82057314431 -7.57743751528311,110.820638950504 -7.57745735245714,110.820613078907 -7.57754282357858,110.82060075146 -7.57753938113733,110.820590130295 -7.57757492632637,110.820536379498 -7.57755871238981,110.82057314431 -7.57743751528311)))","337202000600401600001"
"MULTIPOLYGON (((110.820390323889 -7.57737095408488,110.820418875781 -7.57738046383621,110.820390730465 -7.5774836635601,110.820361543956 -7.57747424400192,110.820390323889 -7.57737095408488)))","337202000600401590001"
"MULTIPOLYGON (((110.820348900265 -7.577358906228,110.820380534745 -7.57736751268451,110.820351572603 -7.57747297349148,110.820320028769 -7.57746436707015,110.820348900265 -7.577358906228)))","337202000600401580001"
"MULTIPOLYGON (((110.820309108891 -7.57734568310101,110.820336483146 -7.57735311186282,110.820305886721 -7.57746463260508,110.820278603113 -7.57745720387865,110.820309108891 -7.57734568310101)))","337202000600401570001"
"MULTIPOLYGON (((110.820543269031 -7.57712099424559,110.820625751578 -7.57715006489777,110.820592627203 -7.57723679942865,110.82058483221 -7.57723390159592,110.820554611874 -7.57731303893937,110.820481919269 -7.57728541961997,110.820543269031 -7.57712099424559)))","337202000600401560001"
"MULTIPOLYGON (((110.820641249487 -7.57715929788626,110.820716028419 -7.57718375204609,110.820670002355 -7.5773404044624,110.820600116101 -7.5773221938368,110.820641249487 -7.57715929788626)))","337202000600401550001"
"MULTIPOLYGON (((110.820760482602 -7.57710145455718,110.820796286267 -7.57711214320836,110.820779492325 -7.57716794821107,110.820810581984 -7.5771787253779,110.820775446554 -7.57730589333483,110.820705470993 -7.57728442624061,110.820760482602 -7.57710145455718)))","337202000600401540001"
"MULTIPOLYGON (((110.820916025908 -7.57714475695623,110.821091330861 -7.57719005747199,110.821082068538 -7.57722804556961,110.820926342571 -7.57718790914578,110.820892477443 -7.57731236392792,110.820915138328 -7.57731834340426,110.820887626549 -7.57742434758815,110.820846292997 -7.5774136566689,110.820916025908 -7.57714475695623)))","337202000600401530001"
"MULTIPOLYGON (((110.820984068679 -7.57723659869936,110.821026398845 -7.57724864686861,110.820928127409 -7.57747574377085,110.820884620448 -7.57745953408977,110.820984068679 -7.57723659869936)))","337202000600401520001"
"MULTIPOLYGON (((110.821226866856 -7.57738767103364,110.821269377121 -7.57740270433173,110.82122254557 -7.57753457128454,110.821180035295 -7.5775195379817,110.821226866856 -7.57738767103364)))","337202000600401480001"
"MULTIPOLYGON (((110.821188017129 -7.57728923796146,110.821291622146 -7.57731795533454,110.821273192246 -7.57738407177368,110.821169587214 -7.57735535439596,110.821188017129 -7.57728923796146)))","337202000600401470001"
"MULTIPOLYGON (((110.821296958483 -7.57756752814584,110.821338892418 -7.57744126750393,110.821409229869 -7.57746463424109,110.821367114644 -7.57759089481569,110.821296958483 -7.57756752814584)))","337202000600401460001"
